 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
291.0,155.0,1044.0,762.0,97.0,0.0,0.0,0.0,3.2
368.0,155.0,1057.0,772.0,0.0,19.0,0.0,0.0,4.3
194.0,155.0,1041.0,760.0,97.0,0.0,97.0,0.0,3.8
155.0,155.0,1037.0,757.0,116.0,0.0,116.0,0.0,3.3
194.0,155.0,1054.0,769.0,0.0,0.0,194.0,0.0,4.1
116.0,155.0,1048.0,765.0,0.0,19.0,252.0,0.0,3.7
342.0,155.0,1078.0,667.0,114.0,0.0,0.0,0.0,4.0
433.0,155.0,1094.0,677.0,0.0,23.0,0.0,0.0,4.4
228.0,155.0,1073.0,664.0,114.0,0.0,114.0,0.0,4.1
182.0,155.0,1069.0,661.0,137.0,0.0,137.0,0.0,4.0
228.0,155.0,1090.0,674.0,0.0,0.0,228.0,0.0,4.7
137.0,155.0,1083.0,670.0,0.0,13.0,296.0,0.0,4.2
388.0,155.0,1016.0,628.0,138.0,28.0,0.0,0.0,5.3
526.0,155.0,1041.0,644.0,0.0,28.0,0.0,0.0,5.1
277.0,155.0,1016.0,628.0,111.0,28.0,138.0,0.0,4.8
221.0,155.0,1009.0,624.0,138.0,28.0,166.0,0.0,5.3
277.0,155.0,1031.0,638.0,0.0,28.0,249.0,0.0,4.9
137.0,155.0,1083.0,670.0,0.0,28.0,296.0,0.0,4.9
285.0,171.0,1130.94,679.32,76.0,19.0,0.0,0.0,2.84
247.0,171.0,1130.94,679.32,114.0,19.0,0.0,0.0,2.78
19.0,171.0,1130.94,679.32,152.0,19.0,0.0,0.0,2.75
275.5,171.0,1130.94,679.32,76.0,28.5,0.0,0.0,3.15
237.5,171.0,1130.94,679.32,114.0,28.5,0.0,0.0,3.24
199.5,171.0,1130.94,679.32,152.0,28.5,0.0,0.0,3.2
266.0,171.0,1130.94,679.32,76.0,38.0,0.0,0.0,3.15
228.0,171.0,1130.94,679.32,114.0,38.0,0.0,0.0,3.1
190.0,171.0,1130.94,679.32,152.0,38.0,0.0,0.0,3.02
372.0,160.0,818.0,993.0,0.0,28.0,0.0,1.4136,4.2
350.0,190.0,876.0,830.0,150.0,0.0,0.0,9.1,2.0
300.0,200.0,860.0,845.0,200.0,0.0,0.0,9.0,1.7
250.0,210.0,856.0,856.0,250.0,0.0,0.0,8.6,1.3
244.0,142.5,1317.0,701.0,131.0,0.0,0.0,1.5,6.2
244.0,142.5,1325.0,705.0,75.0,0.0,56.0,1.5,6.3
206.0,142.5,1308.0,697.0,169.0,0.0,0.0,1.5,6.5
206.0,142.5,1317.0,700.0,113.0,0.0,56.0,1.5,6.9
323.1,158.0,1110.39,796.0,0.0,35.9,0.0,0.0,3.1
305.15,158.0,1110.39,796.0,0.0,53.85,0.0,0.0,3.4
287.2,158.0,1110.39,796.0,0.0,71.8,0.0,0.0,3.2
675.0,225.0,570.0,688.0,75.0,0.0,0.0,8.25,4.0
600.0,225.0,570.0,688.0,150.0,0.0,0.0,8.25,3.9
712.5,225.0,570.0,688.0,0.0,37.5,0.0,11.25,4.3
675.0,225.0,570.0,688.0,0.0,75.0,0.0,11.25,4.5
600.0,225.0,570.0,688.0,112.5,37.5,0.0,9.75,4.4
525.0,225.0,570.0,688.0,187.5,37.5,0.0,9.75,4.3
406.0,189.0,784.4,987.1,0.0,22.0,22.0,1.57,3.74
406.0,189.0,655.7,987.1,0.0,22.0,22.0,1.57,3.03
360.0,189.0,780.2,982.4,0.0,45.0,45.0,1.8,4.01
360.0,189.0,652.7,982.4,0.0,45.0,45.0,1.8,3.27
315.0,189.0,779.2,981.2,0.0,45.0,90.0,1.8,4.19
